PUMFID,PROVINCE,REGION,G_URBRUR,GCAGEGR6,CSEX,G_CEDUC,G_CSTUD,G_CLFSST,GFAMTYPE,G_HHSIZE,G_HEDUC,G_HSTUD,EV_Q01,EV_Q02,PU_Q01,PU_Q02,PU_Q03,PU_Q06A,PU_Q06E,PU_Q06J,PU_Q06K,PU_G06
505,24,2,1,2,2,2,2,1,3,1,2,2,1,4,1,6,6,6,6,6,6,6
506,24,2,4,2,1,2,2,1,2,2,2,2,1,3,1,6,6,6,6,6,6,6
507,48,5,4,3,2,2,2,3,1,4,2,2,1,4,1,6,6,6,6,6,6,6
508,35,3,5,5,1,3,2,1,2,2,3,2,1,4,1,6,6,6,6,6,6,6
509,24,2,5,3,2,3,2,1,1,3,3,2,1,4,1,6,6,6,6,6,6,6
510,46,4,4,3,2,2,2,1,1,2,2,2,1,4,1,6,6,6,6,6,6,6
511,10,1,5,6,1,1,2,3,2,2,1,2,1,2,1,6,6,6,6,6,6,6
512,35,3,4,6,2,1,2,3,3,1,1,2,1,2,1,6,6,6,6,6,6,6
513,12,1,4,2,1,2,2,1,2,2,2,1,1,4,1,6,6,6,6,6,6,6
514,24,2,4,5,2,2,2,3,2,2,3,2,1,2,1,6,6,6,6,6,6,6
515,24,2,5,6,1,1,2,3,2,2,1,2,1,4,2,2,4,2,2,2,2,1
516,12,1,5,6,2,1,2,3,2,2,2,2,1,4,1,6,6,6,6,6,6,6
517,35,3,4,5,2,1,2,3,2,2,1,2,1,2,1,6,6,6,6,6,6,6
518,59,6,4,6,2,1,2,3,3,1,1,2,2,6,6,6,6,6,6,6,6,6
519,46,4,5,5,2,1,2,3,2,2,1,2,1,4,1,6,6,6,6,6,6,6
520,46,4,4,2,1,2,2,1,2,2,2,2,1,4,1,6,6,6,6,6,6,6
521,24,2,4,4,2,1,2,1,2,2,1,2,2,6,6,6,6,6,6,6,6,6
522,24,2,5,2,1,2,2,1,2,4,2,2,1,4,1,6,6,6,6,6,6,6
523,24,2,5,5,2,2,2,1,2,4,2,1,1,4,1,6,6,6,6,6,6,6
524,47,4,4,2,1,3,2,2,4,3,3,2,1,4,1,6,6,6,6,6,6,6
525,24,2,5,6,1,1,2,3,3,1,1,2,2,6,6,6,6,6,6,6,6,6
526,35,3,4,1,1,2,1,1,1,4,3,1,1,4,1,6,6,6,6,6,6,6
527,35,3,4,5,1,3,2,3,2,3,3,2,2,6,6,6,6,6,6,6,6,6
528,46,4,4,6,1,2,2,1,2,2,2,2,2,6,6,6,6,6,6,6,6,6
529,48,5,5,5,1,1,2,1,1,4,1,2,2,6,6,6,6,6,6,6,6,6
530,35,3,4,5,2,1,2,1,2,2,1,2,1,1,1,6,6,6,6,6,6,6
531,47,4,5,4,1,1,2,1,1,4,1,1,1,4,1,6,6,6,6,6,6,6
532,35,3,4,6,2,2,2,3,2,2,3,2,1,4,1,6,6,6,6,6,6,6
533,46,4,5,2,2,2,2,1,2,2,2,2,1,4,1,6,6,6,6,6,6,6
534,12,1,5,5,2,1,2,3,2,2,2,2,1,3,1,6,6,6,6,6,6,6
535,35,3,4,2,1,2,1,2,2,2,2,1,1,4,1,6,6,6,6,6,6,6
536,24,2,4,2,2,1,2,3,1,3,1,2,1,4,1,6,6,6,6,6,6,6
537,47,4,4,5,2,2,2,1,3,1,2,2,1,3,1,6,6,6,6,6,6,6
538,11,1,6,6,2,2,2,3,4,3,3,2,2,6,6,6,6,6,6,6,6,6
